,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_seed,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
114,79.2546665668,5.57600005468,-1145.24687835,-1072.65631505,0.81939719182237669,0.85172260523524312,1,0.05,9,125,641,2.5,1981,0.55172977805820067,"{'reg_alpha': 2.5, 'colsample_bytree': 0.85172260523524312, 'colsample_bylevel': 0.81939719182237669, 'learning_rate': 0.05, 'min_child_weight': 125, 'n_estimators': 641, 'subsample': 0.55172977805820067, 'seed': 1981, 'max_depth': 9, 'gamma': 1}",100,-1145.09091164,-1073.39661495,-1147.99333644,-1069.4418278,-1142.65634572,-1075.1305024,0.061179141679,0.0381924817821,2.18160383698,2.38065643705
115,83.3190000057,5.10600002607,-1143.89506888,-1078.45404807,0.74329462006871438,0.70422768825773285,1,0.05,7,100,789,1.5,1981,0.75353996164206816,"{'reg_alpha': 1.5, 'colsample_bytree': 0.70422768825773285, 'colsample_bylevel': 0.74329462006871438, 'learning_rate': 0.05, 'min_child_weight': 100, 'n_estimators': 789, 'subsample': 0.75353996164206816, 'seed': 1981, 'max_depth': 7, 'gamma': 1}",83,-1143.69047684,-1078.20037795,-1147.01393027,-1077.40523018,-1140.98075309,-1079.75653608,1.70135728399,0.0134908319122,2.46727599384,0.976531703184
116,116.380666653,6.97033341726,-1149.86478768,-1119.26302484,0.93754631185124615,0.90872926428155176,2.5,0.01,9,100,957,2,1981,0.5718533371456711,"{'reg_alpha': 2, 'colsample_bytree': 0.90872926428155176, 'colsample_bylevel': 0.93754631185124615, 'learning_rate': 0.01, 'min_child_weight': 100, 'n_estimators': 957, 'subsample': 0.5718533371456711, 'seed': 1981, 'max_depth': 9, 'gamma': 2.5}",139,-1149.56546081,-1118.92997308,-1152.6444722,-1117.30130086,-1147.38439052,-1121.55780058,0.275032571976,0.0281109536745,2.15782211667,1.75359441677
117,152.021666686,9.48900000254,-1140.07903046,-1053.70130241,0.79329029881791302,0.98643449189209309,2,0.03,9,125,1278,3,1981,0.57316238799129038,"{'reg_alpha': 3, 'colsample_bytree': 0.98643449189209309, 'colsample_bylevel': 0.79329029881791302, 'learning_rate': 0.03, 'min_child_weight': 125, 'n_estimators': 1278, 'subsample': 0.57316238799129038, 'seed': 1981, 'max_depth': 9, 'gamma': 2}",38,-1140.36418999,-1054.57202492,-1142.82771809,-1051.80310389,-1137.04513496,-1054.72877841,0.215941981379,0.0400998584735,2.36932229377,1.34375372879
118,148.509999911,10.5873334408,-1140.1313261,-1018.24216521,0.82453104325303306,0.85746165150796849,1,0.03,9,50,1266,2,1981,0.50300376622941778,"{'reg_alpha': 2, 'colsample_bytree': 0.85746165150796849, 'colsample_bylevel': 0.82453104325303306, 'learning_rate': 0.03, 'min_child_weight': 50, 'n_estimators': 1266, 'subsample': 0.50300376622941778, 'seed': 1981, 'max_depth': 9, 'gamma': 1}",40,-1141.08430586,-1020.42540925,-1141.24190077,-1015.3707579,-1138.0677388,-1018.93032848,0.225690040402,0.0335096361021,1.46058267247,2.12014961744
119,104.584666729,6.3753332297,-1143.53073104,-1064.32668919,0.88411590232762005,0.70935897759505107,2.5,0.05,7,75,983,3,1981,0.54410334879205147,"{'reg_alpha': 3, 'colsample_bytree': 0.70935897759505107, 'colsample_bylevel': 0.88411590232762005, 'learning_rate': 0.05, 'min_child_weight': 75, 'n_estimators': 983, 'subsample': 0.54410334879205147, 'seed': 1981, 'max_depth': 7, 'gamma': 2.5}",75,-1143.7905682,-1065.46190802,-1145.68487847,-1063.40748304,-1141.116708,-1064.1106765,2.09813513741,0.0519573075541,1.87397410632,0.852510649975
120,126.874666611,8.30333336194,-1137.84019568,-1031.18469345,0.95831294317823978,0.72173946691011581,2.5,0.03,10,100,994,1.5,1981,0.94910252300856857,"{'reg_alpha': 1.5, 'colsample_bytree': 0.72173946691011581, 'colsample_bylevel': 0.95831294317823978, 'learning_rate': 0.03, 'min_child_weight': 100, 'n_estimators': 994, 'subsample': 0.94910252300856857, 'seed': 1981, 'max_depth': 10, 'gamma': 2.5}",12,-1138.07655208,-1032.38443353,-1139.81035238,-1029.67640841,-1135.63364743,-1031.49323842,0.152936322509,0.0143836602115,1.71330150505,1.12686881994
121,115.419666608,7.22499998411,-1141.58714195,-1076.24386369,0.8338351657103289,0.97656049164514458,2,0.03,9,125,949,2.5,1981,0.52343790238264021,"{'reg_alpha': 2.5, 'colsample_bytree': 0.97656049164514458, 'colsample_bylevel': 0.8338351657103289, 'learning_rate': 0.03, 'min_child_weight': 125, 'n_estimators': 949, 'subsample': 0.52343790238264021, 'seed': 1981, 'max_depth': 9, 'gamma': 2}",57,-1141.65228242,-1076.42834391,-1144.49224184,-1074.9342932,-1138.61685427,-1077.36895396,0.137366451846,0.00571535381529,2.39905597219,1.00246960691
122,92.6953334014,5.92366663615,-1142.35019841,-1054.4277322,0.77671246845287967,0.82976569892126739,2,0.05,8,100,819,1.5,1981,0.67097641815122622,"{'reg_alpha': 1.5, 'colsample_bytree': 0.82976569892126739, 'colsample_bylevel': 0.77671246845287967, 'learning_rate': 0.05, 'min_child_weight': 100, 'n_estimators': 819, 'subsample': 0.67097641815122622, 'seed': 1981, 'max_depth': 8, 'gamma': 2}",62,-1141.69810382,-1054.6272672,-1144.33927954,-1053.51196548,-1141.01319057,-1055.14396393,1.89801875611,0.0130214051145,1.43402293892,0.681036170752
123,74.9453334014,5.27300000191,-1157.83047011,-1131.48026709,0.74337931625142895,0.9150312442439128,2,0.01,9,100,609,2,1981,0.84618006081170449,"{'reg_alpha': 2, 'colsample_bytree': 0.9150312442439128, 'colsample_bylevel': 0.74337931625142895, 'learning_rate': 0.01, 'min_child_weight': 100, 'n_estimators': 609, 'subsample': 0.84618006081170449, 'seed': 1981, 'max_depth': 9, 'gamma': 2}",172,-1156.70120696,-1131.48486094,-1161.74336883,-1130.24990763,-1155.0467902,-1132.70603269,0.0808346148465,0.0176824541755,2.84809241826,1.00271411968
